Date,Open,High,Low,Close,Volume,Price,Return,SMA_10,SMA_15,SMA_20,SMA_30,SMA_50,SMA_100,SMA_150,SMA_200,EMA_12,EMA_26,RSI_14,Vol_20
2021-03-30,304.99238280868605,305.9834588710033,302.70899076791363,305.4101867675781,44635700,305.4101867675781,-0.005033153694071313,,,,,,,,,305.4101867675781,305.4101867675781,,
2021-03-31,307.1981402160027,311.64830260503766,306.8580553766213,310.0839538574219,55032500,310.0839538574219,0.0153032455770723,,,,,,,,,306.12922785832336,305.75639173719617,,
2021-04-01,313.9122092000032,315.50570605795934,313.65956971601975,315.36968994140625,55685600,315.36968994140625,0.017046145143049918,,,,,,,,,307.55083740956684,306.468487900471,,
2021-04-05,317.857118740122,322.43359992758764,317.6142052852297,321.6659851074219,42172500,321.6659851074219,0.019964807547565577,,,,,,,,,309.72239859385223,307.59422843431923,,
2021-04-06,321.3549985839224,323.3954473760736,320.6651031936098,321.44244384765625,33537200,321.44244384765625,-0.0006949483940336121,,,,,,,,,311.5254824790528,308.62002216864045,,
2021-04-07,320.9663764505816,323.0554557758428,320.0335971350939,322.2198181152344,32046400,322.2198181152344,0.0024183933467931684,,,,,,,,,313.1707648846192,309.62741446098073,,
2021-04-08,325.07650726845895,325.76637319412697,324.2797440007736,325.5817565917969,29940800,325.5817565917969,0.010433680014555025,,,,,,,,,315.080148224185,310.8092175817819,,
2021-04-09,324.2214035847813,327.758237330556,323.48296692718856,327.5541687011719,36664900,327.5541687011719,0.006058116185692519,,,,,,,,,316.9992282975676,312.04958433136636,,
2021-04-12,326.5145014042746,327.54445190282576,325.24163749281007,327.12664794921875,25833000,327.12664794921875,-0.001305190996800154,,,,,,,,,318.5572928593601,313.1664038586147,,
2021-04-13,328.6521636521234,331.41165681721344,328.4383986353373,330.9452819824219,30374000,330.9452819824219,0.01167325883459025,320.7399932861328,,,,,,,,320.4631373398311,314.4833577937115,,
2021-04-14,331.18816484572426,331.31448456932304,326.15500586820826,326.97119140625,42564300,326.97119140625,-0.012008301047128911,322.89609375,,,,,,,,321.4643764269725,315.40838250575143,,
2021-04-15,329.8472514057743,332.3152598721394,326.6893771806176,331.92657470703125,36342800,331.92657470703125,0.01515541255934183,325.0803558349609,,,,,,,,323.0739453931354,316.6319522984389,,
2021-04-16,332.4512626623676,332.5290115532858,330.43993265817915,332.31524658203125,40860100,332.31524658203125,0.0011709573882208169,326.77491149902346,,,,,,,,324.4956840375809,317.7936778009272,,
2021-04-19,330.74122393979405,331.8974645861227,327.350132293735,329.2740173339844,34533100,329.2740173339844,-0.00915163923210538,327.5357147216797,,,,,,,,325.2308122370276,318.6440733218944,,
2021-04-20,328.6132918560866,329.89585219892405,324.9015676206734,326.8740234375,38081800,326.8740234375,-0.007288743630354699,328.07887268066406,323.650732421875,,,,,,,325.48361396017714,319.2536992563837,75.79999662518333,
2021-04-21,325.59140623792234,329.8569798402705,324.5031589337057,329.67236328125,36598100,329.67236328125,0.008560912287620459,328.8241271972656,325.26821085611977,,,,,,,326.1280369326499,320.02545214711455,74.65739795310787,
2021-04-22,329.28383084406084,330.26518119814216,324.54215468692405,325.69842529296875,45936100,325.69842529296875,-0.012054204206650487,328.83579406738284,326.3091756184896,,,,,,,326.0619428342374,320.4456723801408,63.44559581375467,
2021-04-23,326.3298952905757,331.1104148044204,326.3298952905757,329.7987060546875,36381900,329.7987060546875,0.012589194307680573,329.06024780273435,327.27111002604164,,,,,,,326.6368294835374,321.1384896893665,61.22889943782397,
2021-04-26,330.0416120491915,332.22783278624416,329.29341975267846,331.946044921875,30812000,331.946044921875,0.006511059102916716,329.5421875,327.9564473470052,,,,,,,327.45363185866626,321.939049336219,63.77082736512926,
2021-04-27,332.2375993362722,332.4513643729262,329.55585482941194,330.508056640625,33187200,330.508056640625,-0.004331994019053376,329.4984649658203,328.5608215332031,325.1192291259766,,,,,,327.92354336358295,322.57379061802686,60.68133640099895,
2021-04-28,330.1776621742586,331.1881903884685,328.7396039329799,329.390625,33615700,329.390625,-0.0033809512905158545,329.7404083251953,329.03887532552085,326.31825103759763,,,,,,328.149248230724,323.0787413129878,55.21002657422876,0.15795419086323198
2021-04-29,332.66509949857345,333.08290350684666,327.350152142513,330.5760498046875,37708900,330.5760498046875,0.003598841966699906,329.60535583496096,329.3718282063802,327.3428558349609,,,,,,328.5226023190261,323.6340974975582,54.224485042095104,0.1520347356852907
2021-04-30,328.1275434684057,330.614975152807,327.4959446929515,328.4093017578125,38263400,328.4093017578125,-0.006554461668215716,329.2147613525391,329.4288370768229,327.9948364257813,,,,,,328.50517146345476,323.9878163316511,51.70995459649466,0.1466104250274259
2021-05-03,329.6141140387122,330.3622767552804,326.21332589564315,326.6602783203125,29729700,326.6602783203125,-0.005325742687976032,328.95338745117186,329.3977457682292,328.24455108642576,,,,,,328.22134174912514,324.1857764789594,43.95386349720065,0.1324670673435793
2021-05-04,324.1048387023454,324.42550106130835,316.9631773518331,320.78179931640625,65147000,320.78179931640625,-0.01799569581625715,328.3441650390625,328.7201802571615,328.2115188598633,,,,,,327.0767967594761,323.933630022474,41.712175722437536,0.14834642925931207
